Index,Country,Region,CC,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,RL_Total,T_EX,T_EW,T_CR,T_EN,T_VU,T_NT,T_DD,T_LC,T_SP,M_ED,M_TH_ED,M_EX,M_EW,M_CR,M_EN,M_VU,M_NT,M_LC,M_DD,M_SP,A_ED,A_TH_ED,A_EX,A_EW,A_CR,A_EN,A_VU,A_NT,A_LC,A_DD,A_SP
68,Estonia,Europe,EST,1,8,0,0,5,3,3,20,0,0,2,3,15,30,8,472,530,0,0,0,0,0,1,0,4,57,0,62,0,0,0,0,0,0,0,0,10,0,10
69,Faroe Islands,Europe,FRO,4,4,0,0,12,0,0,20,1,0,2,4,14,12,22,264,319,0,0,0,0,0,4,1,0,10,3,18,0,0,0,0,0,0,0,0,0,0,?
70,Finland,Europe,FIN,2,9,0,0,6,3,7,27,0,0,3,4,20,39,14,492,572,0,0,0,0,0,1,0,4,57,0,62,0,0,0,0,0,0,0,0,4,0,4
71,France,Europe,FRA,9,13,5,2,52,91,46,218,7,0,25,48,145,133,274,1617,2249,0,0,1,0,1,4,4,10,91,12,123,3,0,0,0,0,1,1,5,28,0,35
72,Germany,Europe,DEU,5,11,0,0,24,31,26,97,4,0,15,25,57,83,82,819,1085,0,0,0,0,2,3,1,8,81,6,101,0,0,0,0,0,0,0,0,21,0,21
73,Gibraltar,Europe,GIB,4,5,0,0,18,3,2,32,0,0,2,8,22,19,41,496,588,0,0,0,0,0,3,2,6,27,6,44,0,0,0,0,0,0,0,1,2,0,3
74,Greece,Europe,GRC,11,16,9,5,80,65,116,302,1,0,59,90,153,125,216,1270,1914,1,1,0,0,1,2,7,6,81,4,101,3,3,0,0,0,3,2,0,17,0,22
75,Greenland,Europe,GRL,9,3,0,0,9,0,0,21,1,0,1,7,13,11,21,196,250,0,0,0,0,0,3,3,2,20,4,32,0,0,0,0,0,0,0,0,0,0,?
76,Guernsey,Europe,GGY,0,0,0,0,5,0,0,5,0,0,1,0,4,3,11,153,172,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,?
77,Holy See (Vatican City State),Europe,VAT,1,0,0,0,0,0,0,1,0,0,0,0,1,4,2,21,28,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?
78,Hungary,Europe,HUN,3,13,1,0,9,8,27,61,0,0,5,11,45,52,48,590,751,0,0,0,0,0,1,1,8,67,3,80,0,0,0,0,0,0,0,1,17,0,18
79,Iceland,Europe,ISL,6,4,0,0,16,0,0,26,1,0,3,8,15,20,31,314,392,0,0,0,0,0,3,2,0,14,4,23,0,0,0,0,0,0,0,0,0,0,?
80,Ireland,Europe,IRL,5,7,1,0,27,2,4,46,1,0,7,9,30,32,68,689,836,0,0,0,0,0,4,1,2,35,8,50,0,0,0,0,0,0,0,0,3,0,3
81,Isle of Man,Europe,IMN,1,0,0,0,2,0,0,3,0,0,1,1,1,1,6,56,66,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,?
