Country,Region,CC,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,Total
Kenya,Sub-Saharan Africa,KEN,30,39,11,11,71,17,67,246
Lesotho,Sub-Saharan Africa,LSO,3,7,0,0,1,0,3,14
Liberia,Sub-Saharan Africa,LBR,22,13,7,4,63,1,10,120
Madagascar,Sub-Saharan Africa,MDG,120,35,139,140,93,24,86,637
Malawi,Sub-Saharan Africa,MWI,10,18,4,6,98,7,9,152
Mali,Sub-Saharan Africa,MLI,12,16,4,0,2,0,0,34
Mauritania,Sub-Saharan Africa,MRT,17,15,6,0,43,0,3,84
Mauritius,Sub-Saharan Africa,MUS,7,9,10,0,19,28,90,163
Mayotte,Sub-Saharan Africa,MYT,1,3,7,0,7,0,69,87
Mozambique,Sub-Saharan Africa,MOZ,14,29,13,5,67,3,64,195
Namibia,Sub-Saharan Africa,NAM,14,28,5,1,33,0,4,85
Niger,Sub-Saharan Africa,NER,12,11,2,0,4,1,0,30
Nigeria,Sub-Saharan Africa,NGA,29,21,12,13,71,1,16,163
Réunion,Sub-Saharan Africa,REU,5,6,0,0,13,16,71,111
Rwanda,Sub-Saharan Africa,RWA,24,16,0,2,9,0,2,53
"Saint Helena, Ascension and Tristan da Cunha",Sub-Saharan Africa,SHN,4,19,2,0,14,1,14,54
Sao Tomť and Principe,Sub-Saharan Africa,STP,5,13,5,3,25,1,4,56
Senegal,Sub-Saharan Africa,SEN,17,16,8,0,55,10,3,109
Seychelles,Sub-Saharan Africa,SYC,6,11,11,6,21,36,283,374
Sierra Leone,Sub-Saharan Africa,SLE,22,15,8,3,56,3,5,112
Somalia,Sub-Saharan Africa,SOM,14,18,5,0,29,2,60,128
South Africa,Sub-Saharan Africa,ZAF,26,46,21,19,107,22,180,421
South Sudan,Sub-Saharan Africa,SSD,10,19,3,0,0,0,0,32
Sudan,Sub-Saharan Africa,SDN,13,23,5,0,24,0,50,115
Swaziland,Sub-Saharan Africa,SWZ,8,13,0,0,4,0,0,25
Togo,Sub-Saharan Africa,TGO,12,11,5,2,35,0,3,68
Uganda,Sub-Saharan Africa,UGA,29,25,3,2,57,9,10,135
Zambia,Sub-Saharan Africa,ZMB,12,18,2,0,20,13,1,66
Zimbabwe,Sub-Saharan Africa,ZWE,9,17,4,7,3,0,5,45
Antarctica,Antarctic,ATA,2,4,0,0,0,0,0,6
Bouvet Island,Antarctic,BVT,1,1,0,0,1,0,0,3
French Southern Territories,Antarctic,ATF,3,12,4,0,5,0,0,24
Heard Island and McDonald Islands,Antarctic,HMD,1,10,0,0,1,0,0,12
South Georgia and the South Sandwich Islands,Antarctic,SGS,3,6,0,0,0,0,0,9
Belarus,North Asia,BLR,4,9,0,0,2,3,6,24
Moldova,North Asia,MDA,5,12,2,0,8,2,3,32
Russian Federation,North Asia,RUS,32,54,9,0,39,8,28,170
Ukraine,North Asia,UKR,10,18,1,0,24,6,17,76
Afghanistan,West & Central Asia,AFG,11,17,1,1,5,0,2,37
Armenia,West & Central Asia,ARM,9,15,7,0,3,2,7,43
Azerbaijan,West & Central Asia,AZE,8,18,9,1,12,2,5,55
Bahrain,West & Central Asia,BHR,3,6,4,0,10,0,13,36
Cyprus,West & Central Asia,CYP,6,7,5,0,24,1,11,54
Georgia,West & Central Asia,GEO,9,15,7,1,11,4,11,58
"Iran,Islamic Republic of",West & Central Asia,IRN,19,26,14,4,43,2,22,130
Iraq,West & Central Asia,IRQ,14,19,3,1,17,1,16,71
Israel,West & Central Asia,ISR,15,17,10,2,45,11,63,163
Jordan,West & Central Asia,JOR,13,13,6,0,15,6,55,108
