Country,Region,CC,SP,ED,TH_ED,EX,EW,CR,EN,VU,NT,LC,DD,
N/A,Sub-Saharan Africa,,1,0,0,0,0,0,0,0,0,0,0,0
Tanzania,Sub-Saharan Africa,TZA,359,23,18,0,0,5,15,14,20,281,24,
Angola,Sub-Saharan Africa,AGO,285,9,0,0,0,2,5,7,11,240,20,
Benin,Sub-Saharan Africa,BEN,157,0,0,0,0,0,3,7,6,129,12,
Botswana,Sub-Saharan Africa,BWA,157,0,0,0,0,1,1,4,7,143,1,
Burkina Faso,Sub-Saharan Africa,BFA,128,0,0,0,1,0,2,6,5,112,2,
Burundi,Sub-Saharan Africa,BDI,136,0,0,0,0,0,2,7,9,117,1,
Cameroon,Sub-Saharan Africa,CMR,335,16,14,0,0,4,16,21,10,251,33,
Cape Verde,Sub-Saharan Africa,CPV,25,0,0,0,0,0,2,1,0,11,11,
Central African Republic,Sub-Saharan Africa,CAF,219,2,0,0,0,1,2,4,10,190,12,
Chad,Sub-Saharan Africa,TCD,123,0,0,0,1,3,2,7,5,103,2,
Comoros,Sub-Saharan Africa,COM,27,4,2,0,0,0,2,3,1,11,10,
Congo,Sub-Saharan Africa,COG,197,3,0,0,0,2,3,6,8,159,19,
"Congo, D.R.",Sub-Saharan Africa,COD,430,26,4,0,0,3,11,15,20,336,45,
Côte d'Ivoire,Sub-Saharan Africa,CIV,252,1,1,0,0,1,8,15,15,187,26,
Djibouti,Sub-Saharan Africa,DJI,85,0,0,0,0,0,2,6,7,58,12,
Equatorial Guinea,Sub-Saharan Africa,GNQ,174,3,3,0,0,3,7,8,7,139,10,
Eritrea,Sub-Saharan Africa,ERI,104,0,0,0,0,1,2,6,3,87,5,
Ethiopia,Sub-Saharan Africa,ETH,271,33,18,0,0,3,12,16,12,214,14,
Gabon,Sub-Saharan Africa,GAB,182,2,1,0,0,1,3,9,8,146,15,
Gambia,Sub-Saharan Africa,GMB,133,0,0,0,0,0,3,6,4,111,9,
Ghana,Sub-Saharan Africa,GHA,257,1,0,0,0,0,5,12,13,204,23,
Guinea,Sub-Saharan Africa,GIN,223,2,2,0,0,1,7,14,15,169,17,
Guinea-Bissau,Sub-Saharan Africa,GNB,123,0,0,0,0,0,3,8,5,97,10,
Kenya,Sub-Saharan Africa,KEN,376,13,7,0,0,4,9,14,19,294,36,
Lesotho,Sub-Saharan Africa,LSO,61,0,0,0,0,0,1,1,2,57,0,
Liberia,Sub-Saharan Africa,LBR,180,0,0,0,0,0,6,14,14,129,17,
Madagascar,Sub-Saharan Africa,MDG,228,185,57,4,0,6,29,27,11,86,65,
Malawi,Sub-Saharan Africa,MWI,189,2,0,0,0,1,1,4,8,166,9,
Mali,Sub-Saharan Africa,MLI,136,1,0,0,1,1,3,7,6,115,3,
Mauritania,Sub-Saharan Africa,MRT,113,1,0,0,1,3,2,9,5,77,16,
Mauritius,Sub-Saharan Africa,MUS,11,1,1,1,0,1,2,3,0,2,2,
Mayotte,Sub-Saharan Africa,MYT,9,0,0,0,0,0,0,1,0,4,4,
Mozambique,Sub-Saharan Africa,MOZ,236,2,1,0,0,1,4,6,9,197,19,
Namibia,Sub-Saharan Africa,NAM,202,1,0,0,0,1,4,6,7,169,15,
Niger,Sub-Saharan Africa,NER,127,0,0,0,1,2,2,7,6,106,3,
Nigeria,Sub-Saharan Africa,NER,285,6,3,0,1,4,7,16,13,221,23,
RŽunion,Sub-Saharan Africa,REU,14,0,0,1,0,0,4,1,0,3,5,
Rwanda,Sub-Saharan Africa,RWA,184,1,1,0,0,2,5,12,9,154,2,
Sao Tome and Principe,Sub-Saharan Africa,STP,23,5,3,0,0,0,4,1,1,9,8,
Senegal,Sub-Saharan Africa,SEN,189,0,0,0,1,1,4,10,7,150,16,
Seychelles,Sub-Saharan Africa,SYC,13,2,2,0,0,1,1,3,0,6,2,
Sierra Leone,Sub-Saharan Africa,SLE,190,0,0,0,0,0,6,10,13,146,15,
Somalia,Sub-Saharan Africa,SOM,176,8,0,0,0,2,3,9,7,132,23,
South Africa,Sub-Saharan Africa,ZAF,297,31,11,1,0,3,9,11,11,232,30,
Sudan,Sub-Saharan Africa,SDN,281,10,0,0,1,1,4,9,8,234,24,
Swaziland,Sub-Saharan Africa,SWZ,116,0,0,0,0,1,0,3,5,107,0,
Togo ,Sub-Saharan Africa,TGO,175,1,0,0,0,0,4,6,6,148,11,
Uganda,Sub-Saharan Africa,UGA,319,3,1,0,0,0,9,12,20,261,17,
Zambia,Sub-Saharan Africa,ZMB,234,6,2,0,0,1,2,5,10,203,13,
Zimbabwe,Sub-Saharan Africa,ZWE,200,1,0,0,0,1,1,6,7,182,3,
N/A,Antarctic,,1,0,0,0,0,0,0,0,0,0,0,0
Antarctica,Antarctic,ATA,13,2,0,0,0,0,0,1,0,8,4,
Bouvet Island,Antarctic,BVT,5,0,0,0,0,0,0,0,0,3,2,
French Southern Territories,Antarctic,ATF,18,0,0,0,0,0,3,0,0,7,8,
Heard Island and McDonald Islands,Antarctic,HMD,10,0,0,0,0,0,0,0,0,4,6,
South Georgia and the South Sandwich Islands,Antarctic,SGS,16,0,0,0,0,0,3,0,0,6,7,
N/A,North Asia,,1,0,0,0,0,0,0,0,0,0,0,0
Belarus,North Asia,BLR,71,0,0,0,0,1,1,2,7,60,0,
