Country,Region,CC,SP,ED,TH_ED,EX,EW,CR,EN,VU,NT,LC,DD
Somalia,Sub-Saharan Africa,SOM,30,3,0,0,0,0,0,0,1,29,0
South Africa,Sub-Saharan Africa,ZAF,116,50,20,0,0,4,8,9,4,83,8
Spain,Sub-Saharan Africa,ESP,34,4,3,0,0,1,1,4,8,20,0
Sudan,Sub-Saharan Africa,SDN,23,1,0,0,0,0,0,0,0,22,1
Swaziland,Sub-Saharan Africa,SWZ,45,0,0,0,0,0,0,0,0,44,1
Tanzania,Sub-Saharan Africa,TZA,178,78,48,0,0,7,23,20,1,107,20
Togo,Sub-Saharan Africa,TGO,22,2,0,0,0,1,2,0,1,16,2
Uganda,Sub-Saharan Africa,UGA,65,3,0,0,0,0,1,5,1,52,6
Zambia,Sub-Saharan Africa,ZMB,84,2,0,0,0,0,0,1,0,80,3
Zimbabwe,Sub-Saharan Africa,ZWE,63,5,4,0,0,1,4,1,0,57,0
N/A,North Asia,,1,0,0,0,0,0,0,0,0,0,0,0
Belarus,North Asia,BLR,13,0,0,0,0,0,0,0,0,13,0
Moldova,North Asia,MDA,12,0,0,0,0,0,0,0,1,11,0
Russian Federation,North Asia,RUS,28,0,0,0,0,0,0,0,1,27,0
Ukraine,North Asia,UKR,19,0,0,0,0,0,0,0,1,18,0
N/A,West & Central Asia,,1,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,West & Central Asia,AFG,6,1,1,0,0,1,0,0,0,5,0
Armenia,West & Central Asia,ARM,8,0,0,0,0,0,0,0,0,8,0
Azerbaijan,West & Central Asia,AZE,10,0,0,0,0,0,0,0,0,10,0
Bahrain,West & Central Asia,BHR,1,0,0,0,0,0,0,0,0,1,0
Cyprus,West & Central Asia,CYP,3,0,0,0,0,0,0,0,0,3,0
Georgia,West & Central Asia,GEO,12,0,0,0,0,0,0,1,0,11,0
Iran,West & Central Asia,IRN,20,6,3,0,0,2,1,1,2,13,1
Iraq,West & Central Asia,IRQ,5,0,0,0,0,0,0,1,1,3,0
Israel,West & Central Asia,ISR,8,1,0,1,0,1,0,0,1,5,0
Jordan,West & Central Asia,JOR,5,0,0,0,0,0,0,0,0,5,0
Kazakhstan,West & Central Asia,KAZ,11,0,0,0,0,0,1,0,0,10,0
Kyrgyzstan,West & Central Asia,KGZ,4,0,0,0,0,0,0,0,0,4,0
Lebanon,West & Central Asia,LBN,7,0,0,0,0,0,0,0,1,6,0
Oman,West & Central Asia,OMN,2,0,0,0,0,0,0,0,0,2,0
Pakistan,West & Central Asia,PAK,18,1,0,0,0,0,0,0,0,18,0
Saudi Arabia,West & Central Asia,SAU,7,0,0,0,0,0,0,0,0,7,0
Syria,West & Central Asia,SYR,7,0,0,0,0,0,0,0,1,6,0
Tajikistan,West & Central Asia,TJK,3,1,0,0,0,0,0,0,0,2,1
Turkey,West & Central Asia,TUR,29,9,7,0,0,2,5,3,1,17,1
Turkmenistan,West & Central Asia,TKM,4,0,0,0,0,0,0,0,0,4,0
United Arab Emirates,West & Central Asia,ARE,2,0,0,0,0,0,0,0,0,2,0
Uzbekistan,West & Central Asia,UZB,3,0,0,0,0,0,0,0,0,3,0
Yemen,West & Central Asia,YEM,6,1,1,0,0,0,0,1,0,5,0
N/A,East Asia,,1,0,0,0,0,0,0,0,0,0,0,0
China²,East Asia,CHN,333,217,85,1,0,8,34,50,32,142,69
Japan,East Asia,JPN,56,45,18,0,0,2,15,3,2,33,1
"Korea, D.P.R.",East Asia,PRK,15,0,0,0,0,0,0,1,1,13,2
"Korea, Republic",East Asia,KOR,17,4,1,0,0,0,1,1,1,12,0
Mongolia,East Asia,MNG,6,0,0,0,0,0,0,0,0,6,0
"Taiwan, Province of China",East Asia,TWN,34,16,8,0,0,0,8,2,2,22,0
N/A,South & Southeast Asia,,1,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,South & Southeast Asia,BGD,32,1,0,0,0,0,0,1,0,30,1
Bhutan,South & Southeast Asia,BTN,7,1,0,0,0,0,0,1,0,5,1
Brunei Darussalam,South & Southeast Asia,BRN,55,0,0,0,0,0,0,3,17,34,1
Cambodia,South & Southeast Asia,KHM,48,5,0,0,0,0,0,3,2,38,5
India,South & Southeast Asia,IND,252,167,62,1,0,13,31,21,9,90,87
Indonesia,South & Southeast Asia,IDN,363,175,22,0,0,3,9,21,42,161,127
Lao P.D.R.,South & Southeast Asia,LAO,79,8,0,0,0,0,0,5,6,55,13
Malaysia,South & Southeast Asia,MYS,212,63,34,0,0,1,12,34,45,88,32
Myanmar,South & Southeast Asia,MMR,79,15,0,0,0,0,0,0,4,54,21
Nepal,South & Southeast Asia,NPL,46,10,2,0,0,0,0,3,3,35,5
Philippines,South & Southeast Asia,PHL,100,79,48,0,0,1,15,32,12,26,14
Singapore,South & Southeast Asia,SGP,27,1,0,0,0,0,0,0,4,22,1
Sri Lanka,South & Southeast Asia,LKA,105,89,52,21,0,11,36,6,5,24,2
Thailand,South & Southeast Asia,THA,142,21,2,0,0,0,0,4,11,102,25
Timor-Leste,South & Southeast Asia,TLS,6,0,0,0,0,0,0,0,0,5,1
Viet Nam,South & Southeast Asia,VNM,154,43,5,0,0,0,3,14,16,73,48
N/A,Oceania,,1,0,0,0,0,0,0,0,0,0,0,0
Australia,Oceania,AUS,223,209,48,3,0,15,18,15,9,152,11
Fiji,Oceania,FJI,2,2,1,0,0,0,1,0,1,0,0
New Zealand,Oceania,NZL,4,4,4,0,0,1,1,2,0,0,0
Palau,Oceania,PLW,1,1,0,0,0,0,0,0,0,1,0
Papua New Guinea,Oceania,PNG,266,187,9,0,0,1,0,10,0,141,114
Solomon Islands,Oceania,SLB,19,1,0,0,0,0,0,2,0,14,3
