Index,Country,Region,CC,EX,EW,CR,EN,VU,NT,DD,LC,SP
181,Bahrain,West & Central Asia,BHR,0,0,2,5,29,53,24,448,561
182,Cyprus,West & Central Asia,CYP,0,0,4,21,29,33,60,617,764
183,Georgia,West & Central Asia,GEO,0,0,7,10,41,46,21,560,685
184,"Iran,Islamic Republic of",West & Central Asia,IRN,0,1,16,25,89,103,131,1252,1617
185,Iraq,West & Central Asia,IRQ,1,0,6,14,51,70,34,723,899
186,Israel,West & Central Asia,ISR,4,0,13,39,111,142,119,1241,1669
187,Jordan,West & Central Asia,JOR,0,0,5,20,83,124,67,913,1212
188,Kazakhstan,West & Central Asia,KAZ,0,1,13,14,38,37,45,667,815
189,Kuwait,West & Central Asia,KWT,1,0,1,9,39,56,28,547,681
190,Kyrgyzstan,West & Central Asia,KGZ,0,0,1,7,22,23,8,411,472
191,Lebanon,West & Central Asia,LBN,0,0,5,27,43,41,60,690,866
192,Oman,West & Central Asia,OMN,0,0,3,21,69,93,111,1082,1379
193,Pakistan,West & Central Asia,PAK,0,0,9,30,89,101,70,1290,1589
194,"Palestinian Territory, Occupied ",West & Central Asia,PSE,0,0,4,10,13,23,16,343,409
195,Qatar,West & Central Asia,QAT,0,0,3,4,32,56,19,472,586
196,Saudi Arabia,West & Central Asia,SAU,1,0,5,18,102,149,110,1139,1524
197,Syrian Arab Republic,West & Central Asia,SYR,1,0,15,36,63,51,71,814,1051
198,Tajikistan,West & Central Asia,TJK,0,0,2,7,23,19,17,405,473
199,Turkey,West & Central Asia,TUR,4,0,64,99,117,101,152,1226,1763
200,Turkmenistan,West & Central Asia,TKM,0,1,10,7,33,26,30,523,630
201,United Arab Emirates,West & Central Asia,ARE,0,0,3,14,39,62,48,724,890
202,Uzbekistan,West & Central Asia,UZB,0,0,8,7,27,26,17,440,525
203,Yemen,West & Central Asia,YEM,2,0,4,19,112,159,148,1310,1754
204,N/A,East Asia,,0,0,0,0,0,0,0,0,1
205,China,East Asia,CHN,4,1,80,142,281,233,930,3225,4896
206,Hong Kong,East Asia,HKG,0,0,7,16,31,32,78,635,799
207,Japan,East Asia,JPN,13,0,29,93,230,242,445,2167,3219
208,"Korea,Democratic People's Republic of",East Asia,PRK,1,0,5,15,40,35,75,616,787
209,"Korea,Republic of",East Asia,KOR,1,0,5,21,51,41,107,794,1020
210,Macao,East Asia,MAC,0,0,1,2,8,4,7,143,165
211,Mongolia,East Asia,MNG,0,0,4,12,24,28,8,504,580
212,"Taiwan,Province of China",East Asia,TWN,0,0,9,45,197,217,284,1928,2680
213,N/A,South & Southeast Asia,,0,0,0,0,0,0,0,0,1
214,Bangladesh,South & Southeast Asia,BGD,0,1,15,38,74,82,84,1307,1601
215,Bhutan,South & Southeast Asia,BTN,0,0,7,13,34,41,6,686,787
216,British Indian Ocean Territory,South & Southeast Asia,IOT,0,0,1,8,74,106,51,672,912
217,Brunei Darussalam,South & Southeast Asia,BRN,0,0,6,17,65,137,75,918,1218
218,Cambodia,South & Southeast Asia,KHM,0,0,23,47,146,173,179,1625,2193
219,Disputed Territory,South & Southeast Asia,DT,0,0,0,1,3,1,18,382,405
220,India,South & Southeast Asia,IND,0,0,75,202,385,337,764,3363,5126
221,Indonesia,South & Southeast Asia,IDN,2,0,77,190,565,563,931,4181,6509
222,Lao People's Democratic Republic,South & Southeast Asia,LAO,1,0,28,51,93,93,216,1430,1912
223,Malaysia,South & Southeast Asia,MYS,1,0,58,104,385,401,375,2729,4053
224,Maldives,South & Southeast Asia,MDV,0,0,2,11,62,91,77,866,1109
225,Myanmar,South & Southeast Asia,MMR,0,0,23,68,164,270,406,2507,3438
226,Nepal,South & Southeast Asia,NPL,0,0,13,24,51,71,63,1248,1470
227,Philippines,South & Southeast Asia,PHL,0,0,47,101,391,325,488,2354,3706
228,Singapore,South & Southeast Asia,SGP,1,0,11,25,200,230,131,1284,1882
229,Sri Lanka,South & Southeast Asia,LKA,20,0,61,96,140,175,143,1424,2059
230,Thailand,South & Southeast Asia,THA,2,0,37,94,325,376,525,3033,4392
231,Timor-Leste,South & Southeast Asia,TLS,0,0,3,9,10,31,40,578,671
232,Viet Nam,South & Southeast Asia,VNM,1,0,55,110,248,260,612,2568,3854
233,N/A,Oceania,,0,0,0,0,0,0,0,0,1
234,American Samoa,Oceania,ASM,1,0,2,14,75,86,69,814,1061
235,Australia,Oceania,AUS,40,0,97,172,566,406,532,3362,5175
236,Christmas Island,Oceania,CXR,2,0,4,4,30,29,37,616,722
237,Cocos (Keeling) Islands,Oceania,CCK,0,0,0,5,27,27,40,547,646
238,Cook Islands,Oceania,COK,15,0,0,9,54,52,60,694,884
239,Fiji,Oceania,FJI,1,0,26,41,150,157,123,1159,1657
240,French Polynesia,Oceania,PYF,72,11,35,23,70,65,105,817,1198
241,Guam,Oceania,GUM,3,2,7,19,68,90,112,787,1088
242,Kiribati,Oceania,KIR,1,0,0,11,91,121,70,839,1133
243,Marshall Islands,Oceania,MHL,0,0,0,9,89,123,72,872,1165
244,"Micronesia, Federated States of",Oceania,FSM,2,0,6,20,137,149,135,1061,1510
245,Nauru,Oceania,NRU,0,0,0,4,78,113,49,701,945
246,New Caledonia,Oceania,NCL,5,0,36,47,156,160,168,1396,1968
247,New Zealand,Oceania,NZL,22,0,28,46,100,62,148,717,1123
248,Niue,Oceania,NIU,0,0,0,8,44,53,46,615,766
249,Norfolk Island,Oceania,NFK,8,0,2,5,34,29,24,403,505
250,Northern Mariana Islands,Oceania,MNP,0,0,7,18,71,90,78,831,1095
251,Palau,Oceania,PLW,1,0,27,26,124,154,110,1167,1609
252,Papua New Guinea,Oceania,PNG,1,0,19,48,268,261,460,2601,3658
253,Pitcairn,Oceania,PCN,0,0,0,7,30,26,33,359,455
254,Samoa,Oceania,WSM,0,0,3,14,74,88,89,888,1156
255,Solomon Islands,Oceania,SLB,2,0,9,27,190,198,151,1433,2010
256,Tokelau,Oceania,TKL,0,0,0,5,44,59,42,611,761
257,Tonga,Oceania,TON,2,0,3,12,58,71,68,906,1120
258,Tuvalu,Oceania,TUV,0,0,0,8,87,118,56,751,1020
259,United States Minor Outlying Islands,Oceania,UMI,1,0,4,6,62,76,52,847,1048
260,Vanuatu,Oceania,VUT,1,0,2,16,111,139,101,1141,1511
261,Wallis and Futuna,Oceania,WLF,0,0,3,8,78,98,54,768,1009
